soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
51-9071.00,Jewelers and Precious Stone and Metal Workers,14.14,13.21,17.47,8.89,6.96,14.78,11.31,13.25,-1.134,-0.492,2.347,0.268,0.028,0.106,-1.087,0.635,15.0,35.9,99.1,62.3,57.6,56.0,15.5,77.7
23-1023.00,"Judges, Magistrate Judges, and Magistrates",25.26,17.5,8.71,0.75,2.03,15.15,20.62,9.97,1.694,1.063,-1.201,-1.285,-1.4,0.213,2.221,-1.061,94.9,84.9,9.8,0.1,3.5,58.5,97.8,12.5
23-1012.00,Judicial Law Clerks,27.54,15.99,9.84,1.2,3.38,11.99,18.14,11.93,2.273,0.516,-0.743,-1.199,-1.009,-0.705,1.339,-0.047,98.7,73.2,28.3,5.4,14.5,30.3,89.8,53.4
25-2012.00,"Kindergarten Teachers, Except Special Education",20.46,13.07,8.65,4.2,5.67,18.63,19.02,10.31,0.473,-0.543,-1.225,-0.627,-0.346,1.225,1.652,-0.885,69.2,33.3,9.4,37.8,43.7,86.5,93.7,18.1
13-1075.00,Labor Relations Specialists,24.53,15.96,9.28,1.53,2.57,19.31,16.94,9.87,1.508,0.505,-0.97,-1.136,-1.244,1.423,0.913,-1.112,92.8,72.6,19.0,11.7,6.0,90.6,80.9,11.2
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",14.99,11.98,13.42,18.26,7.89,12.76,9.21,11.5,-0.918,-0.939,0.707,2.056,0.297,-0.482,-1.833,-0.27,21.9,16.4,73.3,98.7,66.0,38.0,0.6,42.2
17-1012.00,Landscape Architects,19.43,15.99,16.31,2.9,3.84,14.16,13.33,14.05,0.211,0.516,1.877,-0.875,-0.876,-0.075,-0.37,1.048,58.4,73.2,96.4,28.3,21.8,51.1,40.3,86.8
37-3011.00,Landscaping and Groundskeeping Workers,13.48,12.2,13.97,18.07,8.93,11.59,9.45,12.33,-1.302,-0.859,0.93,2.02,0.598,-0.822,-1.748,0.159,9.4,19.6,81.2,98.5,74.3,25.5,0.8,62.4
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",14.4,14.05,13.67,14.38,8.97,11.36,10.09,13.09,-1.068,-0.188,0.808,1.316,0.61,-0.889,-1.521,0.552,17.6,49.9,76.6,86.7,74.7,22.8,2.3,75.8
51-6011.00,Laundry and Dry-Cleaning Workers,15.8,12.37,11.75,13.52,8.44,13.17,12.77,12.17,-0.712,-0.797,0.03,1.152,0.456,-0.362,-0.569,0.077,27.7,22.5,53.8,81.7,69.6,42.4,33.8,58.3
25-1112.00,"Law Teachers, Postsecondary",27.34,14.91,7.94,1.23,1.91,16.39,20.81,9.48,2.223,0.124,-1.513,-1.194,-1.435,0.574,2.288,-1.314,98.4,62.8,4.0,5.9,2.8,68.0,98.2,7.4
23-1011.00,Lawyers,26.47,15.99,9.4,1.53,3.01,16.43,16.47,10.71,2.001,0.516,-0.921,-1.136,-1.116,0.585,0.746,-0.678,97.4,73.2,21.4,11.7,9.8,68.6,77.0,25.5
51-4192.00,"Layout Workers, Metal and Plastic",13.83,15.39,16.84,11.05,9.39,10.43,10.85,12.22,-1.213,0.298,2.092,0.68,0.731,-1.159,-1.251,0.103,12.8,67.9,98.0,69.9,77.5,12.3,9.4,59.8
43-6012.00,Legal Secretaries and Administrative Assistants,28.03,13.65,10.21,2.71,5.16,16.6,12.81,10.82,2.398,-0.333,-0.593,-0.911,-0.494,0.635,-0.554,-0.621,98.8,43.5,34.0,26.3,38.3,70.6,34.3,27.3
25-4022.00,Librarians and Media Collections Specialists,23.74,13.76,9.09,3.66,4.4,18.28,15.54,11.52,1.307,-0.293,-1.047,-0.73,-0.714,1.123,0.416,-0.259,89.8,44.5,15.8,34.0,28.1,84.1,67.1,42.8
43-4121.00,"Library Assistants, Clerical",20.75,13.0,10.53,5.8,6.88,16.5,14.15,12.39,0.547,-0.569,-0.464,-0.321,0.004,0.606,-0.078,0.19,71.8,32.0,38.4,46.9,57.0,69.4,50.0,64.0
25-1082.00,"Library Science Teachers, Postsecondary",25.75,14.63,7.99,0.98,1.82,18.25,20.63,9.94,1.818,0.023,-1.492,-1.241,-1.461,1.115,2.224,-1.076,96.0,58.3,4.5,1.2,2.3,83.8,97.9,11.9
25-4031.00,Library Technicians,21.02,12.71,10.42,6.26,5.3,16.9,15.34,12.05,0.615,-0.674,-0.508,-0.234,-0.453,0.722,0.345,0.015,73.9,27.3,36.7,49.7,40.9,73.6,64.7,56.0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,17.78,13.02,9.72,8.47,7.42,16.56,16.83,10.19,-0.209,-0.561,-0.792,0.188,0.161,0.623,0.874,-0.947,41.9,32.2,26.8,60.5,61.1,69.9,79.9,16.4
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",16.49,11.81,10.74,9.08,7.84,16.25,16.38,11.41,-0.537,-1.0,-0.379,0.305,0.282,0.533,0.714,-0.316,32.3,13.9,40.5,63.1,65.4,67.7,76.0,40.5
53-3033.00,Light Truck Drivers,16.73,11.25,14.81,14.76,10.1,10.58,10.52,11.24,-0.476,-1.203,1.27,1.388,0.937,-1.115,-1.368,-0.404,33.9,7.4,88.9,88.0,81.7,14.3,5.8,36.7
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",13.64,10.37,14.43,15.94,13.78,10.56,9.44,11.85,-1.261,-1.522,1.116,1.614,2.003,-1.121,-1.752,-0.089,11.1,2.2,86.1,93.1,97.1,13.5,0.7,51.6
43-4131.00,Loan Interviewers and Clerks,24.14,16.84,9.7,1.69,5.25,16.51,15.22,10.64,1.409,0.824,-0.8,-1.106,-0.468,0.609,0.302,-0.714,91.4,80.6,26.6,15.8,39.8,69.5,63.0,24.3
13-2072.00,Loan Officers,24.18,18.08,8.41,1.52,3.91,18.74,14.79,10.38,1.419,1.274,-1.322,-1.138,-0.856,1.257,0.149,-0.849,91.7,88.0,7.8,11.1,22.6,87.7,57.9,19.8
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",26.29,13.03,7.63,7.81,1.35,21.26,13.64,8.99,1.956,-0.558,-1.638,0.062,-1.597,1.99,-0.259,-1.567,97.0,32.6,2.6,57.4,0.7,98.2,43.8,3.1
49-9094.00,Locksmiths and Safe Repairers,14.98,13.18,15.2,13.49,8.11,12.99,10.72,11.34,-0.921,-0.503,1.428,1.146,0.361,-0.415,-1.297,-0.352,21.8,35.2,91.6,81.2,67.0,40.2,8.2,39.0
